URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
baupreis.ais152.com/alerts,No,No,Not tagged
baupreis.ais152.com/einstellungen/abo,No,No,Not tagged
baupreis.ais152.com/einstellungen/materialien,No,No,Not tagged
baupreis.ais152.com/material/steel_beam,No,No,Not tagged
baupreis.ais152.com/dashboard,No,No,Tagged
baupreis.ais152.com/preise,No,No,Tagged
baupreis.ais152.com/ueber-uns,No,No,Tagged
baupreis.ais152.com/chat,No,No,Tagged
baupreis.ais152.com/legierungsrechner,No,No,Tagged
baupreis.ais152.com/berichte,No,No,Tagged
baupreis.ais152.com/einstellungen,No,No,Tagged
baupreis.ais152.com/material/steel_rebar,No,No,Tagged
baupreis.ais152.com/preisgleitklausel,No,No,Tagged
baupreis.ais152.com/onboarding,No,No,Tagged
baupreis.ais152.com/sign-in/sso-callback,No,No,Tagged
baupreis.ais152.com/prognose,No,No,Tagged
baupreis.ais152.com/sign-in/factor-one,No,No,Tagged
baupreis.ais152.com/material/zinc_lme,No,No,Tagged
baupreis.ais152.com/account/profile,No,No,Tagged
baupreis.ais152.com/sign-in,No,No,Tagged
baupreis.ais152.com/,No,No,Tagged
baupreis.ais152.com/impressum,No,Yes,Tagged
baupreis.ais152.com/kontakt,No,No,Tagged
baupreis.ais152.com/sign-up,No,No,Tagged
baupreis.ais152.com/expo,No,No,Tagged
baupreis.ais152.com/agb,No,No,Tagged
baupreis.ais152.com/datenschutz,No,No,Tagged
baupreis.ais152.com/blog,No,No,Tagged
baupreis.ais152.com/account/security,No,No,Tagged
baupreis.ais152.com/account/data,No,No,Tagged
baupreis.ais152.com/account/billing,No,No,Tagged
baupreis.ais152.com/sign-up/sso-callback,No,No,Tagged
